name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
Odeon Luxe Haymarket,City of Westminster,,100023349513,E09000033,St. James's,E05000644,,11-18 Panton Street,,529782.0001221001,180609.00012210011,-0.12966301803623068,51.509003660036754,11/27/2022
Odeon Panton Street,City of Westminster,,100023349513,E09000033,St. James's,E05000644,,11-18 Panton Street,,529782.0001221001,180609.00012210011,-0.12966301803623068,51.509003660036754,11/27/2022
Cineworld West India Quay,Tower Hamlets,www.cineworld.co.uk,000006136934,E09000030,Canary Wharf,E05009323,,Hertsmere Road,West India Quay,537308.0001221001,180628.00012210011,-0.02126328402389602,51.507395484190525,11/27/2022
Picturehouse Central,City of Westminster,,100023472818,E09000033,St. James's,E05000644,,20-24 Shaftesbury Avenue,Piccadilly,529618.0001221001,180756.00012210011,-0.1319710817751035,51.51036250352259,11/27/2022
Empire Leicester Square,City of Westminster,,010091946844,E09000033,St. James's,E05000644,,5-6 Leicester Square,,529834.0001221001,180761.00012210011,-0.1288580752307675,51.510357841475994,11/27/2022
Ham Yard Hotel,City of Westminster,,010033623171,E09000033,West End,E05000649,,1 Ham Yard,,529545.9600829929,180786.3900756985,-0.1329975472186254,51.51065216404048,11/27/2022
Prince Charles Cinema,City of Westminster,,010033537357,E09000033,St. James's,E05000644,,7 Leicester Place,,529848.0001221001,180831.00012210011,-0.12863064073206215,51.51098376206619,11/27/2022
Empire Cinemas Walthamstow,City of Westminster,,100023431525,E09000033,St. James's,E05000644,Leicester Square,3 Cranbourn St,,529895.0001221001,180835.00012210011,-0.12795219161020388,51.51100890775903,11/27/2022
Vue Leicester Square,City of Westminster,,100023431525,E09000033,St. James's,E05000644,,Leicester Square,3 Cranbourn St,529895.0001221001,180835.00012210011,-0.12795219161020388,51.51100890775903,11/27/2022
Curzon Soho,City of Westminster,,010091855706,E09000033,West End,E05000649,,99 Shaftesbury Avenue,,529827.0001221001,180975.00012210011,-0.12888008125898084,51.51228281591033,11/27/2022
Odeon The Lounge,City of Westminster,,010033542077,E09000033,Lancaster Gate,E05000638,,Queensway,,525780.0001221001,181072.00012210011,-0.18714057520936567,51.51407028033699,11/27/2022
Odeon Whiteleys,City of Westminster,,010033542077,E09000033,Lancaster Gate,E05000638,,Queensway,,525780.0001221001,181072.00012210011,-0.18714057520936567,51.51407028033699,11/27/2022
Soho Hotel,City of Westminster,,010033525382,E09000033,West End,E05000649,,4 Richmond Mews,,529604.0001221001,181096.00012210011,-0.13204771656772527,51.51342153547253,11/27/2022
